route_id,route_pattern,source_scope,actor_role,meaningful_states,runtime_proof,proof_tier,blocker
ROUTE-028,/paywall,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-029,/preview,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-030,/sales-copilot/calls,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-031,/sales-copilot/evals,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-032,/sales-copilot/experiments,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-033,/sales-copilot/memory,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-034,/sales-copilot/metrics,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-035,/sales-copilot/objections,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-036,/sales-copilot,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-037,/sales-copilot/playbooks,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-038,/sales-copilot/replies,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-039,/sales-copilot/reports,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-040,/sales-copilot/setters,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-041,/settings,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-042,/unlock,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-043,/welcome,primary REPO-001 candidate,authenticated,authenticated/expired; workspace present/missing; campaign absent/present; plan/entitlement variants; loading/empty/error/success,source mapped; no authenticated runtime proof,C,authenticated fixture and no-write render unavailable
ROUTE-044,/login,primary REPO-001 candidate,anonymous/auth,anonymous; route data present/missing; desktop/mobile; loading/error/success,selected live/browser proof; see browser report,A/C,full state matrix not exercised
ROUTE-045,/clicktoscale,primary REPO-001 candidate,public or contextual,anonymous; route data present/missing; desktop/mobile; loading/error/success,source mapped; no authenticated runtime proof,C,full state matrix not exercised
ROUTE-046,/data-deletion,primary REPO-001 candidate,public or contextual,anonymous; route data present/missing; desktop/mobile; loading/error/success,source mapped; no authenticated runtime proof,C,full state matrix not exercised
ROUTE-047,/f/:slug,primary REPO-001 candidate,public or contextual,anonymous; route data present/missing; desktop/mobile; loading/error/success,selected live/browser proof; see browser report,A/C,full state matrix not exercised
ROUTE-048,/f/:slug/thank-you,primary REPO-001 candidate,public or contextual,anonymous; route data present/missing; desktop/mobile; loading/error/success,source mapped; no authenticated runtime proof,C,full state matrix not exercised
ROUTE-049,/p/:slug/start,primary REPO-001 candidate,public or contextual,anonymous; route data present/missing; desktop/mobile; loading/error/success,source mapped; no authenticated runtime proof,C,full state matrix not exercised
ROUTE-050,/,primary REPO-001 candidate,public or contextual,anonymous; route data present/missing; desktop/mobile; loading/error/success,selected live/browser proof; see browser report,A/C,full state matrix not exercised
ROUTE-051,/privacy,primary REPO-001 candidate,public or contextual,anonymous; route data present/missing; desktop/mobile; loading/error/success,source mapped; no authenticated runtime proof,C,full state matrix not exercised
ROUTE-052,/results,primary REPO-001 candidate,public or contextual,anonymous; route data present/missing; desktop/mobile; loading/error/success,source mapped; no authenticated runtime proof,C,full state matrix not exercised
ROUTE-053,/signup,primary REPO-001 candidate,public or contextual,anonymous; route data present/missing; desktop/mobile; loading/error/success,source mapped; no authenticated runtime proof,C,full state matrix not exercised
ROUTE-054,/terms,primary REPO-001 candidate,public or contextual,anonymous; route data present/missing; desktop/mobile; loading/error/success,source mapped; no authenticated runtime proof,C,full state matrix not exercised
ROUTE-055,/ui-direction,primary REPO-001 candidate,public or contextual,anonymous; route data present/missing; desktop/mobile; loading/error/success,source mapped; no authenticated runtime proof,C,full state matrix not exercised
ROUTE-ALT-01,/admin/control-room,alternate/homepage candidate only,operator,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-02,/admin/incidents,alternate/homepage candidate only,operator,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-03,/agent-deal-flow,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-04,/agentdealflow,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-05,/dealflow-os,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-06,/dealflow-vs-real-estate-marketing-agency,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-07,/egenmedia,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-08,/how-to-launch-real-estate-ads-without-an-agency,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-09,/real-estate-agent-lead-generation,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-10,/real-estate-buyer-leads,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-11,/real-estate-facebook-ads-software,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-12,/real-estate-funnel-software,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-13,/real-estate-lead-generation-platform,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-14,/real-estate-lead-generation-software,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-15,/real-estate-marketing-automation,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
ROUTE-ALT-16,/real-estate-seller-leads,alternate/homepage candidate only,public or candidate-defined,candidate-specific; canonicality unresolved,source inventory only,C,not present in primary candidate; deployed linkage not proven
