id,source_agent_id,family,route_surfaces,actors_and_prerequisites,trigger,downstream_consequence,mutation_classification,truth_status,proof_tier,key_evidence,reverse_trace
UIA-019,UIA-618,Section AI rewrite actions,/builder,selected editable section; AI action available; provider config,"choose rewrite, shorter, stronger CTA, luxury, or direct response",AI/provider request and draft text replacement,provider_or_database_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/builder/builder-panels.tsx:1888,"AI/provider request and draft text replacement <- choose rewrite, shorter, stronger CTA, luxury, or direct response <- /builder"
UIA-020,UIA-619,Campaign save,/builder,campaign name and draft valid; authenticated context,click Save campaign,campaign/database persistence and returned campaignId,database_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/builder/builder-panels.tsx:2247,campaign/database persistence and returned campaignId <- click Save campaign <- /builder
UIA-021,UIA-620,Builder preview-tab and preview navigation,/builder,campaign draft; saved campaignId for scoped preview,switch funnel/ads/assets tab or open Preview,client preview mode change or route navigation,navigation_or_client_state,SOURCE_PROVEN,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/builder/builder-panels.tsx:2255,client preview mode change or route navigation <- switch funnel/ads/assets tab or open Preview <- /builder
UIA-022,UIA-621,Preview tabs and media generation,/preview,authenticated; resolvable campaign; generation gates/config for generate action,select preview tab or generate static assets,client tab state or paid/provider generation request,provider_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/campaign-preview-review.tsx:431,client tab state or paid/provider generation request <- select preview tab or generate static assets <- /preview
UIA-023,UIA-622,Funnel publication state,builder/publication panel,authenticated; campaign and slug; publish authorization,"set draft, staged, or published",persist funnel publication state and public reachability,database_and_publication_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/campaign-publish-panel.tsx:267,"persist funnel publication state and public reachability <- set draft, staged, or published <- builder/publication panel"
UIA-024,UIA-623,Meta asset selection and save,/launch,billing/campaign context; connected Meta account and loaded assets,select account/page/pixel and save selections,persist tenant-scoped Meta selections; refresh may call provider,provider_and_database_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/launch/launch-meta-selection-panel.tsx:168,persist tenant-scoped Meta selections; refresh may call provider <- select account/page/pixel and save selections <- /launch
UIA-025,UIA-624,Launch or connect-account action,/launch,campaign; billing access; creative/media readiness; Meta readiness; provider launch flag,click connect or launch/setup CTA,OAuth start or paused/live Meta object creation intent,provider_and_external_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/launch/launch-sections.tsx:181,OAuth start or paused/live Meta object creation intent <- click connect or launch/setup CTA <- /launch
UIA-026,UIA-625,Launch budget editing and sync,/launch,campaign and Meta connection; numeric bounds; sync authorization,"edit budget, save preset, or sync provider state",persist budget or read/write synchronization with Meta,provider_or_database_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/launch/launch-detail-panels.tsx:182,"persist budget or read/write synchronization with Meta <- edit budget, save preset, or sync provider state <- /launch"
UIA-027,UIA-626,Launch draft/action approval or dismissal,/launch,operator-visible draft or queued action,approve or dismiss item,persist approval status; approved work may become externally actionable,database_or_provider_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/launch/launch-detail-panels.tsx:524,persist approval status; approved work may become externally actionable <- approve or dismiss item <- /launch
UIA-028,UIA-627,"Billing checkout, credit top-up, or portal",/paywall and /settings,authenticated; campaign where required; Stripe configuration; billing state,click checkout/top-up/portal button,create Stripe-hosted session and mutate browser/provider billing flow,billing_external_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/billing/checkout-button.tsx:52,create Stripe-hosted session and mutate browser/provider billing flow <- click checkout/top-up/portal button <- /paywall and /settings
UIA-029,UIA-628,Cancellation intent,/settings,authenticated; active Stripe customer/subscription as applicable,"select reason, add detail, continue or skip",persist cancellation intent and/or continue to Stripe portal,billing_and_database_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/billing/cancellation-intent-form.tsx:78,"persist cancellation intent and/or continue to Stripe portal <- select reason, add detail, continue or skip <- /settings"
UIA-030,UIA-629,Dashboard autonomy mode and cycle,/dashboard,authenticated campaign; plan entitlement; automation gates,select autonomy mode or run cycle,persist autonomy setting or enqueue/execute optimization cycle,database_and_provider_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/dashboard/autonomy-mode-control.tsx:95,persist autonomy setting or enqueue/execute optimization cycle <- select autonomy mode or run cycle <- /dashboard
UIA-031,UIA-630,Dashboard Meta status refresh,/dashboard and launch-success,authenticated campaign; Meta mapping/connection,click refresh or recheck,provider read/sync with possible local status persistence,provider_and_database_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/dashboard/meta-sync-refresh-button.tsx:35,provider read/sync with possible local status persistence <- click refresh or recheck <- /dashboard and launch-success
UIA-032,UIA-631,Support request submit,authenticated app shell,widget open; category/message valid; support integration configured,submit support request,create support/provider record or message,communication_external_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/layout/support-widget.tsx:155,create support/provider record or message <- submit support request <- authenticated app shell
UIA-033,UIA-632,Feedback submit,authenticated app shell,widget open; feedback fields valid,submit feedback,persist/send feedback record,communication_or_database_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/layout/feedback-widget.tsx:97,persist/send feedback record <- submit feedback <- authenticated app shell
UIA-034,UIA-633,Public funnel lead capture,/f/[slug],public funnel exists; billing permits capture; required fields/consent valid,submit lead form,"create lead, assignment/notification/CRM intents",database_and_communication_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/app/f/[slug]/lead-capture-form.tsx:260,"create lead, assignment/notification/CRM intents <- submit lead form <- /f/[slug]"
UIA-035,UIA-634,Customer video controls,preview/funnel media surfaces,customer-safe video available,"play/pause, mute/unmute, or fullscreen",client media state/fullscreen only,client_only,SOURCE_PROVEN,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/customer-video-player.tsx:92,"client media state/fullscreen only <- play/pause, mute/unmute, or fullscreen <- preview/funnel media surfaces"
UIA-036,UIA-635,Creative/video modal open and close,creative preview surfaces,preview asset exists,open overlay; click close/backdrop,client overlay state; no persistence intended,client_only,SOURCE_PROVEN,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/components/campaign/static-creative-preview-card.tsx:109,client overlay state; no persistence intended <- open overlay; click close/backdrop <- creative preview surfaces
UIA-037,UIA-636,"Admin brief, copy, export, and navigation","/admin/command-center, /admin/issues, /admin/launch-monitor",authenticated internal operator,"brief, copy prompt/URL, export/download, or navigate to campaign",client clipboard/download/navigation; page load reads privileged operational data,privileged_client_action,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/app/(app)/admin/command-center/command-center-console.tsx:319,"client clipboard/download/navigation; page load reads privileged operational data <- brief, copy prompt/URL, export/download, or navigate to campaign <- /admin/command-center, /admin/issues, /admin/launch-monitor"
UIA-038,UIA-637,Growth mission and Sales Copilot analysis/import,/growth-agent/* and /sales-copilot/*,authenticated internal operator; inputs/import file; relevant service availability,"build mission, analyze conversation, or import reference content",generate internal artifact/analysis; may call API and persist or consume model quota,internal_database_or_provider_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project/dealflow-os-rebuild/src/app/(app)/growth-agent/_components/revenue-command-workbench.tsx:72,"generate internal artifact/analysis; may call API and persist or consume model quota <- build mission, analyze conversation, or import reference content <- /growth-agent/* and /sales-copilot/*"
UIA-039,UIA-638,"Legacy/internal OS commands, navigation, import/export, and local forms",New project 3 /,session loaded; role can access selected view; local storage driver available,"navigate views, preview/apply command, import/export JSON, edit internal records",automatic and manual local/remote storage mutation; optional API plan request,browser_and_storage_mutation,SKIPPED_SAFETY,C,/Users/raiaanreza/Documents/New project 3/app/page.tsx:123,"automatic and manual local/remote storage mutation; optional API plan request <- navigate views, preview/apply command, import/export JSON, edit internal records <- New project 3 /"
