id,kind,runtime_path,source_path,methods,actor_boundary,guard_or_trigger,side_effect_class,truth_status,proof_tier,notes
ROUTE-055,PAGE,/ui-direction,src/app/ui-direction/page.tsx,GET/render,public or contextual,route render,render/read; UI actions separately mapped,CONFIRMED,C,Path and source mapped; runtime behavior requires the UI/live matrices.
ROUTE-056,API_ROUTE,/api/activation/events,src/app/api/activation/events/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-057,API_ROUTE,/api/assets/:id,src/app/api/assets/[id]/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-058,API_ROUTE,/api/autonomy,src/app/api/autonomy/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-059,API_ROUTE,/api/autonomy/run,src/app/api/autonomy/run/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-060,API_ROUTE,/api/billing/cancellation-intent,src/app/api/billing/cancellation-intent/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-061,API_ROUTE,/api/billing/checkout,src/app/api/billing/checkout/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-062,API_ROUTE,/api/billing/credits/checkout,src/app/api/billing/credits/checkout/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-063,API_ROUTE,/api/billing/credits,src/app/api/billing/credits/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-064,API_ROUTE,/api/billing/portal,src/app/api/billing/portal/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-065,API_ROUTE,/api/billing/status,src/app/api/billing/status/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-066,API_ROUTE,/api/build-campaign,src/app/api/build-campaign/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-067,API_ROUTE,/api/builder/command,src/app/api/builder/command/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-068,API_ROUTE,/api/builder/copy-assistant,src/app/api/builder/copy-assistant/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-069,API_ROUTE,/api/builder/section-assistant,src/app/api/builder/section-assistant/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-070,API_ROUTE,/api/campaign/actions,src/app/api/campaign/actions/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-071,API_ROUTE,/api/campaign/creative-performance,src/app/api/campaign/creative-performance/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-072,API_ROUTE,/api/campaign/drafts,src/app/api/campaign/drafts/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-073,API_ROUTE,/api/campaign/launch-audit,src/app/api/campaign/launch-audit/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-074,API_ROUTE,/api/campaign/runtime,src/app/api/campaign/runtime/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-075,API_ROUTE,/api/campaigns/:id/assets,src/app/api/campaigns/[id]/assets/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-076,API_ROUTE,/api/campaigns/:id/build-assets,src/app/api/campaigns/[id]/build-assets/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-077,API_ROUTE,/api/campaigns/:id/creative-intake,src/app/api/campaigns/[id]/creative-intake/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-078,API_ROUTE,/api/campaigns/:id/generate-static-ads,src/app/api/campaigns/[id]/generate-static-ads/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-079,API_ROUTE,/api/campaigns/:id/generate-video,src/app/api/campaigns/[id]/generate-video/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-080,API_ROUTE,/api/campaigns/:id/launch,src/app/api/campaigns/[id]/launch/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-081,API_ROUTE,/api/campaigns/:id/optimize,src/app/api/campaigns/[id]/optimize/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-082,API_ROUTE,/api/campaigns/:id/publish,src/app/api/campaigns/[id]/publish/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-083,API_ROUTE,/api/campaigns/:id,src/app/api/campaigns/[id]/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-084,API_ROUTE,/api/campaigns/:id/select-ad,src/app/api/campaigns/[id]/select-ad/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-085,API_ROUTE,/api/campaigns/create,src/app/api/campaigns/create/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-086,API_ROUTE,/api/campaigns,src/app/api/campaigns/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-087,API_ROUTE,/api/client-errors,src/app/api/client-errors/route.ts,SOURCE_DEFINED,public ingress,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-088,API_ROUTE,/api/dashboard,src/app/api/dashboard/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-089,API_ROUTE,/api/feedback,src/app/api/feedback/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-090,API_ROUTE,/api/generate-creatives,src/app/api/generate-creatives/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-091,API_ROUTE,/api/generate-funnel,src/app/api/generate-funnel/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-092,API_ROUTE,/api/growth-agent/mission,src/app/api/growth-agent/mission/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-093,API_ROUTE,/api/integrations/meta/callback,src/app/api/integrations/meta/callback/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-094,API_ROUTE,/api/integrations/meta/connect,src/app/api/integrations/meta/connect/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-095,API_ROUTE,/api/integrations/meta/selections,src/app/api/integrations/meta/selections/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-096,API_ROUTE,/api/integrations/meta/status,src/app/api/integrations/meta/status/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-097,API_ROUTE,/api/integrations/meta/sync,src/app/api/integrations/meta/sync/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-098,API_ROUTE,/api/internal/qa-auth-session,src/app/api/internal/qa-auth-session/route.ts,SOURCE_DEFINED,internal bearer secret,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-099,API_ROUTE,/api/internal/stripe-test-proof,src/app/api/internal/stripe-test-proof/route.ts,SOURCE_DEFINED,internal bearer secret,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-100,API_ROUTE,/api/internal/system-jobs,src/app/api/internal/system-jobs/route.ts,SOURCE_DEFINED,internal bearer secret,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-101,API_ROUTE,/api/lead-capture,src/app/api/lead-capture/route.ts,SOURCE_DEFINED,public ingress,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-102,API_ROUTE,/api/meta/data-deletion,src/app/api/meta/data-deletion/route.ts,SOURCE_DEFINED,provider/public ingress with route validation,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-103,API_ROUTE,/api/onboarding/plan,src/app/api/onboarding/plan/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-104,API_ROUTE,/api/sales-copilot/analyze,src/app/api/sales-copilot/analyze/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-105,API_ROUTE,/api/sms/twilio,src/app/api/sms/twilio/route.ts,SOURCE_DEFINED,provider/public ingress with route validation,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-106,API_ROUTE,/api/stripe/webhook,src/app/api/stripe/webhook/route.ts,SOURCE_DEFINED,provider/public ingress with route validation,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-107,API_ROUTE,/api/support/ticket,src/app/api/support/ticket/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-108,API_ROUTE,/api/system-jobs/:id/stream,src/app/api/system-jobs/[id]/stream/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-109,API_ROUTE,/api/system-jobs,src/app/api/system-jobs/route.ts,SOURCE_DEFINED,authenticated/contextual,route-level validation and proxy context; exact guard in source,read or contextual mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-110,API_ROUTE,/api/webhooks/twilio/status,src/app/api/webhooks/twilio/status/route.ts,SOURCE_DEFINED,provider/public ingress with route validation,route-level validation and proxy context; exact guard in source,potential external or data mutation,CONFIRMED,C,File content mapped; no mutating endpoint invoked by this audit.
ROUTE-111,OPERATOR_OR_TEST_ENTRYPOINT,n/a,scripts/audit-static-creative-storage-backfill.mjs,CLI,local operator/CI,explicit command,inspection or validation; still not executed,SKIPPED_SAFETY,C,Presence and source role mapped; execution pass state NOT_PROVEN.
ROUTE-112,OPERATOR_OR_TEST_ENTRYPOINT,n/a,scripts/check-campaign-plan-write-paths.mjs,CLI,local operator/CI,explicit command,inspection or validation; still not executed,SKIPPED_SAFETY,C,Presence and source role mapped; execution pass state NOT_PROVEN.
ROUTE-113,OPERATOR_OR_TEST_ENTRYPOINT,n/a,scripts/check-operator-debt.mjs,CLI,local operator/CI,explicit command,inspection or validation; still not executed,SKIPPED_SAFETY,C,Presence and source role mapped; execution pass state NOT_PROVEN.
ROUTE-114,OPERATOR_OR_TEST_ENTRYPOINT,n/a,scripts/check-required-schema.mjs,CLI,local operator/CI,explicit command,inspection or validation; still not executed,SKIPPED_SAFETY,C,Presence and source role mapped; execution pass state NOT_PROVEN.
ROUTE-115,OPERATOR_OR_TEST_ENTRYPOINT,n/a,scripts/check-rls-cross-tenant.mjs,CLI,local operator/CI,explicit command,inspection or validation; still not executed,SKIPPED_SAFETY,C,Presence and source role mapped; execution pass state NOT_PROVEN.
