ledger_key,id,object_type,original_claim,canonical_status,root_cause_invariant,affected_surface_files_data,owner_requirement,implementation_disposition,failing_before_evidence,changed_files_commits,tests,negative_failure_path_proof,integrated_proof,residual_risk,final_status
"BLOCKER:BLK-011","BLK-011","BLOCKER","Architecture requires a dedicated long-running worker; hosting/supervision/health was not found.","ACTIVE_BOUNDARY","Marketing Studio worker runtime","Provide read-only process/deployment/queue-lag evidence.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","Architecture requires a dedicated long-running worker; hosting/supervision/health was not found.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","NOT_PROVEN","BLOCKED_BY_EXTERNAL_AUTHORITY"
"BLOCKER:BLK-012","BLK-012","BLOCKER","No safe pre-existing fixture session was supplied; product pages can write telemetry/storage on render.","ACTIVE_BOUNDARY","Authenticated UI","Provide isolated fixture accounts and a no-write inspection mode.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","No safe pre-existing fixture session was supplied; product pages can write telemetry/storage on render.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","SKIPPED_SAFETY","BLOCKED_BY_EXTERNAL_AUTHORITY"
"BLOCKER:BLK-013","BLK-013","BLOCKER","No admin, member, former-member, multi-workspace, paid-plan, provider-connected or error-state sessions were exercised.","ACTIVE_BOUNDARY","Role/tenant matrix runtime","Run hermetic role/state fixtures after approval.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","No admin, member, former-member, multi-workspace, paid-plan, provider-connected or error-state sessions were exercised.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","SKIPPED_SAFETY","BLOCKED_BY_EXTERNAL_AUTHORITY"
"BLOCKER:BLK-014","BLK-014","BLOCKER","IAB Chromium only; Firefox/WebKit, keyboard-only, screen reader and 200/400 percent zoom were not run.","ACTIVE_BOUNDARY","Cross-browser and assistive technology","Run approved cross-browser/AT matrix in isolated environment.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","IAB Chromium only; Firefox/WebKit, keyboard-only, screen reader and 200/400 percent zoom were not run.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","BLOCKED","BLOCKED_BY_EXTERNAL_AUTHORITY"
"BLOCKER:BLK-015","BLK-015","BLOCKER","No LCP, CLS, INP, long-task or network-waterfall evidence was captured.","ACTIVE_BOUNDARY","Core Web Vitals","Collect lab and field data without production mutation.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","No LCP, CLS, INP, long-task or network-waterfall evidence was captured.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","BLOCKED","BLOCKED_BY_EXTERNAL_AUTHORITY"
"BLOCKER:BLK-016","BLK-016","BLOCKER","93 manifest test entrypoints were classified but all skipped; existing configs/scripts can write builds, reports, sessions, DB/provider/customer state.","RESOLVED_OR_RECALIBRATED","Test execution","Run from disposable copies with redirected outputs and isolated services.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","93 manifest test entrypoints were classified but all skipped; existing configs/scripts can write builds, reports, sessions, DB/provider/customer state.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","SKIPPED_SAFETY","STALE_OR_SUPERSEDED_WITH_EVIDENCE"
"BLOCKER:BLK-017","BLK-017","BLOCKER","10 of 13 primary tests/ files were dataless at inventory snapshot.","RESOLVED_OR_RECALIBRATED","Primary test files","Hydrate immutable copy and re-review before execution.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","10 of 13 primary tests/ files were dataless at inventory snapshot.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","BLOCKED","STALE_OR_SUPERSEDED_WITH_EVIDENCE"
"BLOCKER:BLK-018","BLK-018","BLOCKER","No invalid/unsigned POST was sent because exact current transitive side-effect isolation was not closed.","ACTIVE_BOUNDARY","Safe POST probes","Approve exact no-effect payloads/endpoints or isolated clone.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","No invalid/unsigned POST was sent because exact current transitive side-effect isolation was not closed.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","SKIPPED_SAFETY","BLOCKED_BY_EXTERNAL_AUTHORITY"
"BLOCKER:BLK-019","BLK-019","BLOCKER","Technical privacy/security mechanics were reviewed; legal adequacy and certification were out of scope.","ACTIVE_BOUNDARY","Legal/compliance conclusions","Specialist review with data inventory and retention/deletion evidence.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","Technical privacy/security mechanics were reviewed; legal adequacy and certification were out of scope.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","NOT_PROVEN","BLOCKED_BY_EXTERNAL_AUTHORITY"
"BLOCKER:BLK-020","BLK-020","BLOCKER","Code version/scope drift is confirmed; authoritative current Meta Graph support was not established inside the source subaudit.","ACTIVE_BOUNDARY","Current Meta support lifecycle","Verify current official Meta lifecycle/scopes before change or launch decision.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","Code version/scope drift is confirmed; authoritative current Meta Graph support was not established inside the source subaudit.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","NOT_PROVEN","BLOCKED_BY_EXTERNAL_AUTHORITY"
"BLOCKER:BLK-021","BLK-021","BLOCKER","Backup bodies, local environment values, .next, vendor dependencies and most .vercel output were excluded as non-authoritative or sensitive.","ACTIVE_BOUNDARY","Backups/generated output","Inspect only if a later incident specifically requires them and safe access is approved.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","Backup bodies, local environment values, .next, vendor dependencies and most .vercel output were excluded as non-authoritative or sensitive.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","EXCLUDED","OWNER_APPROVED_OUT_OF_SCOPE"
"BLOCKER:BLK-022","BLK-022","BLOCKER","No customer rows, provider records, cookies, personal browser state, or raw production logs were accessed.","ACTIVE_BOUNDARY","Customer/private data","Use sanitized fixtures for future dynamic proof.","","PRESERVE_EXACT_BLOCKER_OR_RESOLUTION","No customer rows, provider records, cookies, personal browser state, or raw production logs were accessed.","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","SKIPPED_SAFETY","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-001","CONTRA-001","CONTRADICTION","Primary source root renders a landing page; live app/apex roots redirect to login.","STALE_OR_RESOLVED","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-054","","CLOSE_WITH_CANONICAL_EVIDENCE","FIND-054","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The superseded behavior could recur through an unproven source or deployment until complete ancestry and release evidence are established.","STALE_OR_SUPERSEDED_WITH_EVIDENCE"
"CONTRADICTION:CONTRA-002","CONTRA-002","CONTRADICTION","Historical runbooks describe apex/www behavior that current live responses contradict.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","DEP-002; DEP-003","","FIX_WITH_RELATED_FINDING","DEP-002; DEP-003","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-003","CONTRA-003","CONTRADICTION","REPO-004 and REPO-005 share HEAD but package manifests differ.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","repository inventory","","FIX_WITH_RELATED_FINDING","repository inventory","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-004","CONTRA-004","CONTRADICTION","Strongest app and marketing candidates differ from observed remote branch tips.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","REPO-001; REPO-010","","FIX_WITH_RELATED_FINDING","REPO-001; REPO-010","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-005","CONTRA-005","CONTRADICTION","Repo instructions require Node 20 while REPO-006 manifest requests Node 24.x.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","REPO-006","","FIX_WITH_RELATED_FINDING","REPO-006","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-006","CONTRA-006","CONTRADICTION","Cron schedule is one minute in most clones, five minutes in REPO-008, and scale monitor appears only in alternates.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","repository/deployment inventory","","FIX_WITH_RELATED_FINDING","repository/deployment inventory","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-007","CONTRA-007","CONTRADICTION","Creative selection allows zero UGC; launch requires at least one.","STALE_OR_RESOLVED","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-018","","CLOSE_WITH_CANONICAL_EVIDENCE","FIND-018","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The superseded behavior could recur through an unproven source or deployment until complete ancestry and release evidence are established.","STALE_OR_SUPERSEDED_WITH_EVIDENCE"
"CONTRADICTION:CONTRA-008","CONTRA-008","CONTRADICTION","Meta OAuth and execution use different hard-coded API versions; META_SCOPES is not applied by connect.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-027","","FIX_WITH_RELATED_FINDING","FIND-027","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-009","CONTRA-009","CONTRADICTION","Lead parent job can be completed while a child provider result is failed.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-003","","FIX_WITH_RELATED_FINDING","FIND-003","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-010","CONTRA-010","CONTRADICTION","GHL next_retry_at implies scheduled retry but no consumer is observed.","STALE_OR_RESOLVED","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-043","","CLOSE_WITH_CANONICAL_EVIDENCE","FIND-043","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The superseded behavior could recur through an unproven source or deployment until complete ancestry and release evidence are established.","STALE_OR_SUPERSEDED_WITH_EVIDENCE"
"CONTRADICTION:CONTRA-011","CONTRA-011","CONTRADICTION","Command center can report all-zero/hard-coded readiness when data is unavailable.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-010","","FIX_WITH_RELATED_FINDING","FIND-010","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-012","CONTRA-012","CONTRADICTION","Provider registry can say ready while omitting material providers and using env presence.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-029","","FIX_WITH_RELATED_FINDING","FIND-029","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-013","CONTRA-013","CONTRADICTION","App layout expects x-dealflow-auth-state; proxy does not set it.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-020","","FIX_WITH_RELATED_FINDING","FIND-020","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-014","CONTRA-014","CONTRADICTION","Meta deletion endpoint returns confirmation without deletion workflow.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-004","","FIX_WITH_RELATED_FINDING","FIND-004","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-015","CONTRA-015","CONTRADICTION","Tools labeled safe write builds/reports/sessions/data under their documented flows.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-053","","FIX_WITH_RELATED_FINDING","FIND-053","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-016","CONTRA-016","CONTRADICTION","Route-security checker can report green from lexical markers without semantic guards.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-016","","FIX_WITH_RELATED_FINDING","FIND-016","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-017","CONTRA-017","CONTRADICTION","Onboarding marks completion yet retains the full PII draft in localStorage.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-013","","FIX_WITH_RELATED_FINDING","FIND-013","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"CONTRADICTION:CONTRA-018","CONTRA-018","CONTRADICTION","Public funnel is published while exposing internal template labels and broken copy.","CONFIRMED_OR_REQUIRES_PROOF","The cited requirement must remain evidence-bound; source presence alone cannot establish runtime, tenant, provider, customer, or release truth.","FIND-033","","FIX_WITH_RELATED_FINDING","FIND-033","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","The cited runtime, external, provider, deployment, or owner evidence remains unavailable and prevents a stronger conclusion.","BLOCKED_BY_EXTERNAL_AUTHORITY"
"DATA_ENTITY:DATA-001","DATA-001","DATA_ENTITY","users: identity/profile","LIVE_SCHEMA_NOT_PROVEN","user","authenticated/RLS","","LOCAL_MIGRATION_RLS_AND_FIXTURE_PROOF","NOT_PROVEN","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","PII","BLOCKED_BY_EXTERNAL_AUTHORITY"
"DATA_ENTITY:DATA-002","DATA-002","DATA_ENTITY","organizations: tenant/workspace","LIVE_SCHEMA_NOT_PROVEN","organization","membership RLS","","LOCAL_MIGRATION_RLS_AND_FIXTURE_PROOF","NOT_PROVEN","No candidate change is mapped to this accounting row.","No dedicated executable proof is mapped; see the final disposition and residual risk.","No stronger negative-path claim is made beyond the cited canonical evidence or blocker.","Reconciled in the integrated ledger without promoting source presence to runtime proof.","business data","BLOCKED_BY_EXTERNAL_AUTHORITY"
